instance_id,event_id,is_cc,nu_pdg,nu_flavour,nu_energy_truth,nu_dir_truth_x,nu_dir_truth_y,nu_dir_truth_z,zenith_truth_deg,L_truth_km,nu_energy_reco,nu_dir_reco_x,nu_dir_reco_y,nu_dir_reco_z,zenith_reco_deg,L_reco_km,n_primaries,n_total_particles,n_primary_leptons,n_primary_protons,n_primary_pions,n_primary_photons,n_primary_other,leading_lepton_pdg,leading_lepton_energy,n_points_raw,n_points_filtered,direction_recon_ok,is_ccqe_topology,is_ccqe_reconstructed,n_hits,n_hits_w,n_hits_v,n_hits_u,total_adc,mean_adc,max_adc,drift_range,drift_std,channel_range_w,channel_range_v,channel_range_u,hit_density
205,8,False,-12,nue,4.913548946380615,-0.2656905888704955,0.7036510667262036,0.6590020389048316,134.72066854781292,8987.229252288498,33.70367715044786,-0.010992809836331214,-0.995986989719171,0.08882046184323948,5.134735877097373,16.566308651198597,10,75,0,4,0,5,1,,,7655,7198,False,False,False,2457,833,928,696,488953.6875,199.0043487548828,2874.385009765625,333.7885437011719,31.525619506835938,728.7840576171875,737.8348388671875,484.8834228515625,7.360947660922893
206,9,False,14,numu,1.8622595071792603,-0.7664788981694439,0.17606369975364275,-0.6176663114417157,100.14056479614314,2333.084691085877,37.40509831078227,-0.004168386881632376,-0.9999893392163348,0.001986455255797614,0.2645651167309507,16.50017545029914,20,27,0,1,1,17,1,,,1718,1511,False,False,False,812,252,240,320,201446.25,248.08651733398438,1820.0802001953125,198.93524169921875,34.671939849853516,192.15399169921875,161.6278076171875,200.36390686035156,4.081730280991177
207,10,False,-14,numu,1.0905178785324097,0.15839698735650806,-0.31842884436465263,0.9346194227989133,71.43206536662959,51.23686057696409,0.2265281140394024,-0.0047474595408728325,-0.9794038054028733,0.20185551166683177,11.648750820088335,16.846058850338522,6,7,0,1,0,5,0,,,69,52,False,False,False,47,15,14,18,9829.2919921875,209.1338653564453,693.7086181640625,188.09780883789062,77.42071533203125,161.4979248046875,167.69488525390625,89.289306640625,0.24987000268836873
208,12,True,14,numu,2.9531095027923584,-0.8339034504747729,-0.1309122132185502,0.5361595170436584,82.47769120369067,117.87089950929067,2.7452392979267004,-0.8011459896714893,-0.28044421883244497,0.5286928629712622,73.71328114279113,57.970767259601644,4,84,1,2,1,0,0,13.0,0.5812804698944092,1315,924,True,False,False,1735,471,530,734,588269.625,339.060302734375,5922.189453125,496.7503356933594,64.03585815429688,311.9039611816406,240.5001220703125,361.1346435546875,3.492700206388997
209,13,False,14,numu,0.6678068041801453,-0.8011082957464649,-0.487752318128478,-0.3468763102987725,60.80704527438717,33.68979320659537,0.08812643321045983,0.01664294011493533,-0.9972129242901004,-0.07272823504745,4.278710793117352,16.545995626133845,4,5,0,1,0,3,0,,,30,21,False,False,False,41,5,24,12,5734.52734375,139.86651611328125,486.7195129394531,724.370361328125,348.48486328125,22.03399658203125,416.07049560546875,42.710479736328125,0.056600880142068426
210,14,True,14,numu,2.2062559127807617,-0.6718399384359784,0.5555835756945319,-0.48985506789337074,123.75091943595793,7107.192236382801,2.022946168835706,-0.5305499487770182,0.44663787551488543,-0.7204383110358951,116.52817727439765,5726.473016194437,7,12,3,2,0,2,0,11.0,0.012826363556087017,3186,3000,True,False,False,2221,786,409,1026,473884.4375,213.36534118652344,1863.010986328125,228.9644317626953,64.78910064697266,328.74395751953125,147.62689208984375,422.51312255859375,9.700196589057562
211,15,True,12,nue,1.5574806928634644,0.5977182977434489,-0.22906511161730558,-0.7682851106083113,76.7579627815925,70.42554323199352,0.1071865274335246,0.8179705803271506,-0.45529612167310035,0.35160997043414166,62.91601116453215,36.06286144031719,12,13,1,2,0,9,0,11.0,0.5086252689361572,1455,1184,False,False,False,629,207,248,174,161541.734375,256.8231201171875,1856.6492919921875,155.24868774414062,20.953752517700195,194.54901123046875,123.82513427734375,218.56520080566406,4.051564036641847
212,16,False,-12,nue,6.870880126953125,-0.6605670083547084,-0.16627719410885994,-0.7321223410008707,80.42856269458652,95.09152129522931,0.9789238547711193,-0.5259390782747988,-0.5269546820997683,-0.6676127986764387,58.20007505996751,31.207466596804807,4,12,0,1,2,1,0,,,767,652,False,False,False,555,198,207,150,169095.421875,304.6764221191406,1220.477294921875,57.9542236328125,15.517160415649414,133.6409912109375,82.60590362548828,185.74659729003906,9.576523766695242
213,17,True,14,numu,70.47479248046875,-0.23524242208671392,-0.861608507313213,-0.44976858824986143,30.50233144191963,19.141650704305903,,,,,,,83,661,1,6,6,67,3,13.0,35.69136428833008,37786,0,False,False,False,18273,4926,7180,6167,6703545.5,366.855224609375,20226.671875,593.7733764648438,50.73923873901367,1070.9400634765625,1407.313232421875,976.942626953125,30.774367333194014
214,18,True,14,numu,0.5244619250297546,-0.6365727831161413,-0.7627680690343863,0.11384184053907322,40.291163801568594,21.611690178999197,0.6346763048183655,-0.14958675982311676,-0.9819517043805385,0.11573526493587437,10.90212331023317,16.8024651496944,3,15,1,1,1,0,0,13.0,0.1360393911600113,527,414,False,False,False,242,71,91,80,65707.53125,271.51873779296875,2777.451416015625,42.0838623046875,11.81692123413086,51.253021240234375,48.536800384521484,36.402587890625,5.750422768896972
